date,close
2025-06-30,10309.76
2025-05-30,10021.75
2025-04-30,9980.38
2025-03-28,9534.58
2025-02-28,8761.01
2025-01-31,9404.31
2024-12-31,9569.63
2024-11-29,9895.61
2024-10-31,9974.46
2024-09-30,10672.22
2024-08-30,10425.78
2024-07-31,10325.7
2024-06-28,9977.13
2024-05-31,9352.79
2024-04-30,9387.51
2024-03-28,9275.83
2024-02-29,9186.42
2024-01-31,9065.06
2023-12-29,9048.9
2023-11-30,8365.31
2023-10-31,7940.4
2023-09-29,8194.33
2023-08-31,8058.64
2023-07-31,8321.94
2023-06-30,8104.96
2023-05-31,7762.62
2023-04-28,7648.83
2023-03-31,7319.25
2023-02-28,7252.93
2023-01-31,7469.83
2022-12-30,7583.08
2022-11-30,7981.43
2022-10-31,7539.76
2022-09-30,7281.01
2022-08-30,7744.45
2022-07-29,7500.92
2022-06-30,6923.74
2022-05-31,7401.89
2022-04-29,7752.29
2022-03-31,7986.2
2022-02-28,7723.0
2022-01-31,8051.54
2021-12-31,8089.22
2021-11-30,7830.33
2021-10-29,8177.25
2021-09-30,8224.29
2021-08-31,8131.09
2021-07-30,7339.77
2021-06-30,7328.81
2021-05-31,7434.94
2021-04-30,6844.22
2021-03-31,6962.21
2021-02-26,6850.86
2021-01-29,6475.32
2020-12-31,6630.4
2020-11-27,6068.0
2020-10-30,5443.56
2020-09-30,5282.29
2020-08-31,5360.55
2020-07-31,5128.75
2020-06-30,4727.81
2020-05-29,4390.02
2020-04-30,4549.51
2020-03-31,3937.98
2020-02-28,5378.33
2020-01-31,5808.58
2019-12-31,5907.08
2019-11-29,5823.2
2019-10-31,5802.36
2019-09-30,5610.23
2019-08-30,5348.96
2019-07-31,5600.63
2019-06-28,5917.68
2019-05-31,5927.94
2019-04-30,5852.63
2019-03-29,5814.05
2019-02-28,5257.69
2019-01-31,5276.9
2018-12-31,5391.21
2018-11-30,5407.55
2018-10-31,4867.07
2018-09-28,5224.72
2018-08-31,5706.34
2018-07-31,5737.34
2018-06-29,5418.53
2018-05-31,5512.65
2018-04-30,5575.64
2018-03-28,5373.05
2018-02-28,5580.94
2018-01-31,6007.65
2017-12-29,5716.78
2017-11-30,5495.51
2017-10-31,5528.97
2017-09-29,5192.52
2017-08-31,5375.8
2017-07-31,5442.94
2017-06-30,5103.84
2017-05-31,5167.01
2017-04-28,5011.42
2017-03-31,4902.49
2017-02-28,4610.27
2017-01-31,4374.55
2016-12-30,4173.93
2016-11-30,4158.69
2016-10-30,4470.48
2016-09-30,4476.12
2016-08-31,4545.17
2016-07-29,4465.25
2016-06-30,4247.04
2016-05-31,4207.36
2016-04-29,4089.09
2016-03-31,4042.27
2016-02-29,3528.35
2016-01-29,3861.11
2015-12-31,4151.34
2015-11-30,4115.21
2015-10-30,4284.98
2015-09-30,4189.55
2015-08-31,4165.61
2015-07-31,4619.35
2015-06-30,4548.19
2015-05-29,4583.11
2015-04-30,4458.91
2015-03-31,4700.58
2015-02-28,4991.83
2015-01-30,4942.37
2014-12-31,4531.64
2014-11-28,4801.77
2014-10-31,4695.86
2014-09-30,4479.22
2014-08-28,4557.59
2014-07-31,4440.84
2014-06-30,4388.73
2014-05-30,4243.66
2014-04-30,3845.54
2014-03-31,3865.25
2014-02-28,3503.93
2014-01-31,3377.28
2013-12-31,3528.97
2013-11-29,3429.79
2013-10-31,3554.23
2013-09-30,3165.62
2013-08-30,2847.92
2013-07-31,3255.5
2013-06-28,3390.85
2013-05-31,3671.29
2013-04-30,3789.84
2013-03-28,3624.45
2013-02-28,3627.5
2013-01-31,3928.0
2012-12-31,3741.4
2012-11-30,3742.55
2012-10-31,3615.6
2012-09-28,3755.05
2012-08-31,3274.2
2012-07-31,3260.35
2012-06-29,3269.3
2012-05-31,3049.95
2012-04-30,3457.25
2012-03-30,3607.4
2012-02-29,3807.5
2012-01-31,3649.55
2011-12-30,3005.75
2011-11-30,3202.35
2011-10-31,3789.65
2011-09-30,3497.4
2011-08-30,3758.95
2011-07-29,4299.3
2011-06-30,4378.1
2011-05-31,4276.7
2011-04-29,4497.4
2011-03-31,4535.7
2011-02-28,4086.95
2011-01-31,4154.2
2010-12-31,4746.85
2010-11-30,4412.3
2010-10-29,4685.05
2010-09-30,4649.75
2010-08-31,3978.85
2010-07-30,3996.6
2010-06-30,3953.35
2010-05-31,3792.55
2010-04-30,4117.8
2010-03-31,4046.75
2010-02-26,3696.4
2010-01-29,3655.45
2009-12-31,3865.75
2009-11-30,3753.2
2009-10-30,3466.75
2009-09-30,3661.95
2009-08-31,3311.7
2009-07-31,3333.7
2009-06-30,3098.55
2009-05-29,3261.9
2009-04-29,2401.85
2009-03-31,2058.3
2009-02-27,1884.25
2009-01-30,2033.45
2008-12-31,2113.45
2008-11-28,1905.3
2008-10-31,2024.0
2008-09-30,2924.45
2008-08-29,3448.35
2008-07-31,3528.45
2008-06-30,3258.55
2008-05-30,3970.55
2008-04-30,4411.0
2008-03-31,4105.85
2008-02-29,4528.25
2008-01-31,4519.2
2007-12-31,5399.9
2007-11-30,5032.0
2007-10-31,5199.15
2007-09-28,4379.65
2007-08-31,3776.15
2007-07-31,3885.15
2007-06-29,3672.3
2007-05-31,3662.75
2007-04-30,3439.5
2007-03-30,3041.15
2007-02-28,2932.3
2007-01-31,3203.2
2006-12-29,3104.15
2006-11-30,3062.25
2006-10-31,2880.8
2006-09-29,2704.55
2006-08-31,2542.85
2006-07-31,2341.35
2006-06-30,2354.1
2006-05-31,2296.35
2006-04-29,2740.9
2006-03-31,2642.7
2006-02-28,2396.95
2006-01-31,2355.9
2005-12-30,2179.85
2005-11-30,1999.55
2005-10-31,1822.35
2005-09-30,2049.05
2005-08-31,1876.6
2005-07-29,1841.0
2005-06-30,1765.95
2005-05-31,1659.0
2005-04-29,1508.15
2005-03-31,1610.4
2005-02-28,1666.95
2005-01-31,1630.75
2004-12-31,1648.15
2004-11-30,1515.0
2004-10-29,1359.0
2004-09-30,1314.55
2004-08-31,1219.3
2004-07-30,1244.15
2004-06-30,1131.9
2004-05-31,1131.55
2004-04-30,1401.35
2004-03-31,1394.1
2004-02-27,1378.55
2004-01-30,1384.0
2003-12-31,1429.3
2003-11-28,1219.65
2003-10-31,1190.4
2003-09-30,1071.4
2003-08-29,1024.95
2003-07-31,890.9
2003-06-30,846.95
2003-05-30,741.45
2003-04-30,683.25
2003-03-31,712.8
2003-02-28,772.95
2003-01-31,755.1
2002-12-31,790.35
2002-11-29,754.0
2002-10-31,681.25
2002-09-30,689.8
2002-08-30,721.55
2002-07-31,682.4
2002-06-28,750.3
2002-05-31,727.35
2002-04-30,767.2
2002-03-28,802.05
2002-02-28,811.9
2002-01-31,768.3
2001-12-31,760.25
2001-11-29,770.65
2001-10-31,702.05
2001-09-28,661.6
2001-08-31,774.55
2001-07-31,788.45
2001-06-29,816.45
2001-05-31,861.75
2001-04-30,832.05
2001-03-30,853.2
2001-02-28,1003.75
2001-01-31,1023.7
2000-12-29,937.3
2000-11-30,937.5
2000-10-31,871.1
2000-09-29,955.8
2000-08-31,1054.95
2000-07-31,1029.05
2000-06-30,1141.4
2000-05-31,1073.45
2000-04-28,1116.3
2000-03-31,1214.4
2000-02-29,1314.8
2000-01-31,1228.5
1999-12-30,1178.9
1999-11-30,1098.45
1999-10-29,1058.6
1999-09-30,1123.35
1999-08-31,1125.3
1999-07-30,1048.0
1999-06-30,949.05
1999-05-31,915.7
1999-04-30,791.75
1999-03-31,880.35
1999-02-27,799.0
1999-01-29,787.7
1998-12-31,721.25
1998-11-30,666.25
1998-10-31,674.55
1998-09-30,738.45
1998-08-31,694.55
1998-07-31,758.7
1998-06-30,769.6
1998-05-29,882.85
1998-04-30,1011.3
1998-03-31,979.95
1998-02-27,934.25
1998-01-30,860.95
1997-12-31,953.75
1997-11-28,919.55
1997-10-30,1038.21
1997-09-30,1078.66
1997-08-29,1053.9
1997-07-31,1187.24
1997-06-30,1155.71
1997-05-30,1019.42
1997-04-30,1047.8
1997-03-31,937.2
1997-02-28,1019.42
1997-01-31,941.41
1996-12-31,871.44
1996-11-29,805.97
1996-10-31,887.52
1996-09-30,916.2
1996-08-30,998.32
1996-07-31,1012.28
1996-06-28,1108.88
1996-05-31,1077.25
1996-04-30,1117.59
1996-03-29,999.29
1996-02-29,983.71
1996-01-31,806.97
1995-12-29,895.16
1995-11-30,855.31
